Date	Location	MinTemp	MaxTemp	WindDir9am	RainToday	RainTomorrow
10/28/2020	Andhra Pradesh	14.9	30.1	WNW	No	No
10/29/2020	Andhra Pradesh	17.4	33.7	N	No	No
10/30/2020	Andhra Pradesh	20.6	33.1	NE	No	No
10/31/2020	Andhra Pradesh	16	32.5	SW	No	No
11-01-2020	Andhra Pradesh	16.7	34.9	SSW	No	No
11-02-2020	Andhra Pradesh	22.9	37.9	NNE	No	No
11-03-2020	Andhra Pradesh	13	20	WSW	No	No
11-04-2020	Andhra Pradesh	13.3	19.3	SSW	No	No
11-05-2020	Andhra Pradesh	10.4	20.4	SE	No	No
11-06-2020	Andhra Pradesh	11.9	28.2	ENE	No	No
11-07-2020	Andhra Pradesh	18.6	34.4	NE	No	No
11-08-2020	Andhra Pradesh	25.4	36.7	NE	No	No
11-09-2020	Andhra Pradesh	24.5	37	NNE	No	No
11-10-2020	Andhra Pradesh	22.9	38.9	NE	No	No
11-11-2020	Andhra Pradesh	23.7	39.2	NE	No	No
11-12-2020	Andhra Pradesh	24.5	39.2	S	No	No
11/13/2020	Andhra Pradesh	21.9	38.7	ESE	No	No
11/14/2020	Andhra Pradesh	23.3	39.5	NA	No	No
11/15/2020	Andhra Pradesh	20.9	39.4	SW	No	No
11/16/2020	Andhra Pradesh	22.8	31.9	NW	No	No
11/17/2020	Andhra Pradesh	15.5	29	ESE	No	No
11/18/2020	Andhra Pradesh	19.4	38.9	NE	No	No
11/19/2020	Andhra Pradesh	17.6	43	NE	No	No
11/20/2020	Andhra Pradesh	21.8	28.9	SW	No	Yes
11/21/2020	Andhra Pradesh	18.6	23.1	E	Yes	Yes
11/22/2020	Andhra Pradesh	14.2	21	SSW	Yes	No
11/23/2020	Andhra Pradesh	11.2	23.2	S	No	No
11/24/2020	Andhra Pradesh	11.2	26.8	NNW	No	No
11/25/2020	Andhra Pradesh	16.6	32	SE	No	Yes
11/26/2020	Andhra Pradesh	18.6	27.9	NE	Yes	No
11/27/2020	Andhra Pradesh	18.9	32.4	NE	No	Yes
11/28/2020	Andhra Pradesh	13.2	20.3	WNW	Yes	Yes
11/29/2020	Andhra Pradesh	13.8	20.8	S	Yes	No
11/30/2020	Andhra Pradesh	13.1	22.4	SSE	No	No
12-01-2020	Andhra Pradesh	12.7	26.1	S	No	No
12-02-2020	Andhra Pradesh	13.7	32.9	NNE	No	No
12-03-2020	Andhra Pradesh	17.9	22.1	SSW	No	No
12-04-2020	Andhra Pradesh	10.6	21.9	SW	No	No
12-05-2020	Andhra Pradesh	12.2	21.8	SW	No	No
12-06-2020	Andhra Pradesh	12.3	25.8	ENE	No	No
12-07-2020	Andhra Pradesh	14.1	28.1	SSW	No	Yes
12-08-2020	Andhra Pradesh	14	20.7	SSW	Yes	No
12-09-2020	Andhra Pradesh	10.3	23	NNW	No	Yes
12-10-2020	Andhra Pradesh	14.8	19.4	W	Yes	Yes
12-11-2020	Andhra Pradesh	11.6	21.2	SW	Yes	No
12-12-2020	Andhra Pradesh	14	22.7	SW	No	No
12/13/2020	Andhra Pradesh	12.6	26.2	WSW	No	No
12/14/2020	Andhra Pradesh	14.5	31.3	SSE	No	No
12/15/2020	Andhra Pradesh	21.1	38.2	NNE	No	No
12/16/2020	Andhra Pradesh	21.6	40.8	N	No	Yes
12/17/2020	Andhra Pradesh	19.9	21.5	ESE	Yes	No
12/18/2020	Andhra Pradesh	11.6	22.2	SW	No	No
12/19/2020	Andhra Pradesh	16.3	25	SSW	No	No
12/20/2020	Andhra Pradesh	13	29.8	N	No	No
12/21/2020	Andhra Pradesh	16	30.9	S	No	No
12/22/2020	Andhra Pradesh	15.6	37.2	SW	No	No
12/23/2020	Andhra Pradesh	24.4	38.3	N	No	No
12/24/2020	Andhra Pradesh	21.7	24.8	WNW	No	No
12/25/2020	Andhra Pradesh	14.2	23.8	SE	No	No
12/26/2020	Andhra Pradesh	13	27.9	SSE	No	No
12/27/2020	Andhra Pradesh	15.6	29.8	SSW	No	No
12/28/2020	Andhra Pradesh	15.6	33.9	WSW	No	No
12/29/2020	Andhra Pradesh	19.1	35.6	WSW	No	No
12/30/2020	Andhra Pradesh	22.2	39.5	NE	No	No
12/31/2020	Andhra Pradesh	26.7	41.6	N	No	No
01-01-2021	Andhra Pradesh	17.6	28.1	SSE	No	No
01-02-2021	Andhra Pradesh	16.5	23.4	SSW	No	No
01-03-2021	Andhra Pradesh	15.2	25.2	SSE	No	No
01-04-2021	Andhra Pradesh	14.1	31.3	NA	No	No
01-05-2021	Andhra Pradesh	15.1	32	S	No	No
01-06-2021	Andhra Pradesh	15.7	33.6	WSW	No	No
01-07-2021	Andhra Pradesh	16.6	35.1	E	No	No
01-08-2021	Andhra Pradesh	26.7	41	NNE	No	No
01-09-2021	Andhra Pradesh	21.6	41.3	WNW	No	No
01-10-2021	Andhra Pradesh	25.6	42	NA	No	No
01-11-2021	Andhra Pradesh	28.9	42.8	NE	No	Yes
01-12-2021	Andhra Pradesh	20.7	22.9	SW	Yes	Yes
1/13/2021	Andhra Pradesh	14.4	25.6	S	Yes	No
1/14/2021	Andhra Pradesh	14	27.7	E	No	No
1/15/2021	Andhra Pradesh	15.1	31.8	WNW	No	No
1/16/2021	Andhra Pradesh	17.4	25	SSW	No	No
1/17/2021	Andhra Pradesh	15.6	22.3	SSW	No	No
1/18/2021	Andhra Pradesh	14.3	22.4	S	No	No
1/19/2021	Andhra Pradesh	11.2	26.8	SW	No	No
1/20/2021	Andhra Pradesh	15.5	32.1	NNE	No	No
1/21/2021	Andhra Pradesh	22	40.2	NE	No	No
1/22/2021	Andhra Pradesh	28.6	33.6	NNE	No	No
1/23/2021	Andhra Pradesh	17.6	27.7	S	No	No
1/24/2021	Andhra Pradesh	14.8	30.2	NW	No	No
1/25/2021	Andhra Pradesh	15.8	33.3	SW	No	No
1/26/2021	Andhra Pradesh	18.8	33.5	SW	No	No
1/27/2021	Andhra Pradesh	18.3	33.4	ENE	No	No
1/28/2021	Andhra Pradesh	19.4	32.5	NE	No	No
1/29/2021	Andhra Pradesh	14.7	28.3	SSE	No	No
1/30/2021	Andhra Pradesh	18.3	36.1	E	No	No
1/31/2021	Andhra Pradesh	21	31.4	SW	No	No
02-01-2021	Andhra Pradesh	15.5	31.9	SE	No	No
02-02-2021	Andhra Pradesh	18.7	33.9	SSW	No	Yes
02-03-2021	Andhra Pradesh	21.5	34.3	NNE	Yes	No
02-04-2021	Andhra Pradesh	21.9	29.6	SW	No	No
02-05-2021	Andhra Pradesh	15.4	24.4	SSE	No	No
02-06-2021	Andhra Pradesh	13.6	28.4	NA	No	No
02-07-2021	Andhra Pradesh	15.5	35	NNE	No	No
02-08-2021	Andhra Pradesh	24	38.1	NNE	No	No
02-09-2021	Andhra Pradesh	26.8	39	NE	No	No
02-10-2021	Andhra Pradesh	26	38.6	N	No	No
02-11-2021	Andhra Pradesh	23.4	29	NE	No	Yes
02-12-2021	Andhra Pradesh	17.2	28.8	SE	Yes	No
2/13/2021	Andhra Pradesh	17.3	31	ENE	No	No
2/14/2021	Andhra Pradesh	19.2	29.4	NNE	No	No
2/15/2021	Andhra Pradesh	18.2	26.1	S	No	No
2/16/2021	Andhra Pradesh	17.4	32.4	N	No	No
2/17/2021	Andhra Pradesh	20.3	31.8	WSW	No	No
2/18/2021	Andhra Pradesh	19.5	32.8	SE	No	No
2/19/2021	Andhra Pradesh	18.5	36.6	SSE	No	No
2/20/2021	Andhra Pradesh	23.1	36.5	N	No	No
2/21/2021	Andhra Pradesh	20.4	26.2	SW	No	No
2/22/2021	Andhra Pradesh	18.1	25.3	WSW	No	No
2/23/2021	Andhra Pradesh	14.8	27.2	SE	No	No
2/24/2021	Andhra Pradesh	14.9	30.7	NNW	No	No
2/25/2021	Andhra Pradesh	19.6	32.3	ENE	No	No
2/26/2021	Andhra Pradesh	18.6	36.2	WSW	No	No
2/27/2021	Andhra Pradesh	18.5	29.4	SE	No	No
2/28/2021	Andhra Pradesh	15.1	23.5	SE	No	No
03-01-2021	Andhra Pradesh	13.6	22.7	SSE	No	No
03-02-2021	Andhra Pradesh	13.1	27.5	SE	No	No
03-03-2021	Andhra Pradesh	16.1	30.3	SSW	No	No
03-04-2021	Andhra Pradesh	18.7	34	NW	No	No
